Año de nacimiento,Comunidad,Género,Bebida,Tapa
1990,16,1,1,8
1964,3,2,6,8
1992,6,2,2,15
1967,4,1,1,13
2001,12,2,2,8
1980,16,1,1,8
1938,5,2,2,13
2001,11,1,1,12
1947,2,2,4,7
2006,14,2,2,6
1971,14,1,1,10
1965,1,2,1,10
1980,10,1,2,10
1970,17,1,1,3
2002,18,2,2,6
1937,17,1,5,3
1925,5,1,1,13
1925,18,1,5,5
1994,13,1,5,14
1932,19,1,5,5
1997,15,2,3,6
1992,20,1,1,2
1997,20,2,5,14
1993,11,2,2,8
1982,13,2,2,13
1989,13,2,1,13
1943,5,1,1,3
1988,2,2,3,6
1960,10,1,4,8
1940,7,2,4,9
1985,11,2,2,12
1968,9,1,1,2
1940,1,2,2,9
1935,6,2,4,13
1963,18,1,1,9
1962,17,2,6,13
1980,2,2,3,6
1980,17,1,1,9
1939,9,2,1,7
1962,4,2,2,13
2000,8,2,4,15
1977,19,2,5,6
1981,6,1,1,5
1983,9,1,1,12
2001,20,1,1,15
1997,7,2,2,12
2009,2,2,2,8
1988,9,1,1,12
1928,4,1,3,9
1995,3,2,6,6
1930,14,1,5,11
1950,9,1,1,2
1985,18,2,6,8
1932,14,2,4,8
1966,13,2,5,12
1980,7,2,2,12
1921,3,1,3,14
1945,10,2,3,7
1966,16,1,1,8
1965,1,2,1,10
1985,2,2,3,6
1960,11,2,6,7
2002,6,1,3,15
1960,4,1,1,13
2001,20,1,3,15
1945,4,2,4,7
1950,17,1,1,3
1955,15,1,1,7
1965,4,2,2,13
1946,7,1,1,14
1970,16,1,1,8
1978,20,1,4,2
1983,13,2,5,13
1930,1,1,4,9
1988,15,2,3,15
1983,15,1,2,8
1996,18,2,2,6
1996,13,1,1,14
1990,1,2,1,6
1967,18,2,6,8
1932,5,1,1,13
1925,17,1,5,3
1963,13,2,1,12
1975,8,2,6,3
1937,11,2,6,3
1968,7,1,1,10
2003,16,2,6,8
1972,13,1,1,11
1945,7,2,4,9
1973,14,1,1,10
1933,12,1,5,3
1965,8,1,2,14
1955,4,2,4,7
1968,14,2,6,8
1980,13,1,3,11
1988,5,1,1,12
1947,9,2,1,2
1998,18,2,2,6
1994,11,2,2,8
1940,15,2,3,7
1990,20,1,2,4
1968,16,1,1,8
1975,6,2,1,5
2006,8,2,4,15
1985,12,2,2,8
1941,17,2,4,13
1967,14,2,6,8
1965,9,2,2,6
1957,19,2,5,9
1942,14,1,5,11
1955,10,2,1,15
1987,20,1,2,2
1963,16,2,6,8
1932,10,1,3,7
1965,1,2,1,10
1987,15,2,1,15
1937,4,1,3,9
1970,1,1,1,3
2005,6,2,2,15
1947,4,1,1,9
1947,15,2,2,7
1942,10,1,3,7
1971,12,1,1,14
1975,19,1,1,5
1985,8,1,3,10
1926,17,1,5,3
1993,18,1,1,3
1960,2,2,4,12
1987,18,2,6,8
1952,4,2,4,7
1972,15,1,1,8
1932,12,1,5,3
1975,1,1,1,10
1999,7,2,2,12
1965,13,1,1,14
1985,3,1,6,5
1963,19,1,1,5
1937,19,2,4,2
2000,2,2,2,8
1978,10,1,2,10
1987,14,2,6,8
1952,18,2,6,8
1996,16,1,1,3
1933,2,1,5,14
1972,3,2,4,9
1950,12,1,5,3
1928,5,1,1,13
1963,4,2,2,13
1970,4,1,1,13
1956,11,2,6,3
1993,10,2,2,6
1993,12,2,2,8
1976,8,2,6,3
1999,13,1,3,14
1938,11,2,6,3
1998,6,1,3,15
1925,14,1,3,11
1963,8,2,5,9
1988,10,1,2,12
1948,3,2,4,14
1992,3,2,6,14
1983,14,1,1,10
1998,20,2,3,9
1980,14,1,1,10
1930,2,1,5,14
1933,9,2,1,7
1950,14,1,5,11
1991,16,2,6,8
1925,14,1,5,11
1929,7,1,5,9
1969,7,1,1,10
1985,1,1,1,3
2007,9,2,1,12
1985,7,2,2,12
1972,2,1,5,15
1975,12,1,1,14
1993,8,2,1,12
1932,6,2,4,13
1995,10,2,2,6
2004,20,1,3,10
1977,7,2,2,12
1983,20,2,3,8
1927,9,2,3,7
2002,10,1,2,12
1975,16,2,6,8
1930,4,1,3,9
1992,15,1,2,12
2004,10,2,2,6
1982,17,2,6,8
1958,3,1,3,13
1973,19,1,1,5
1995,5,1,1,12
1928,14,1,5,11
2008,2,2,2,8
1981,3,1,3,8
1960,19,2,5,9
1968,2,2,4,12
1986,8,1,3,10
1996,12,2,2,8
1988,16,1,1,8
1989,9,1,1,12
1955,6,2,1,5
1994,6,1,3,15
2000,20,1,1,5
1960,16,1,1,8
1946,16,1,1,8
1956,16,1,1,7
1930,17,2,4,13
1940,12,1,5,3
1988,12,2,2,8
1973,13,1,3,11
1975,9,1,1,2
1970,15,2,1,15
1959,7,2,3,8
1940,18,1,5,5
1963,5,1,1,3
1933,19,1,5,5
2005,17,2,2,8
1964,11,1,1,7
1991,12,2,2,8
1952,6,1,1,5
2000,10,1,2,12
1980,19,2,5,6
1968,19,2,5,6
1952,17,2,6,13
1983,5,1,1,12
1958,2,1,5,9
1984,20,1,2,15
1933,6,2,4,13
1983,12,2,2,8
1991,6,1,3,15
1947,8,1,5,9
1962,13,2,1,12
1969,2,2,4,12
1941,6,1,5,13
1955,14,2,4,8
1958,16,1,1,5
1935,9,1,3,7
1972,19,1,1,5
1987,8,1,3,10
1948,10,1,1,8
1977,15,2,2,15
2001,18,2,2,6
1962,12,1,1,14
1945,1,2,2,7
1952,5,1,1,3
1958,6,2,1,5
2005,7,2,2,12
1986,12,2,2,8
1928,2,1,5,14
1930,1,1,4,9
1947,7,1,1,14
2000,4,1,1,12
1940,14,1,5,11
1950,11,2,6,3
1953,9,2,2,6
1961,3,1,6,5
1951,8,1,5,9
1992,18,2,2,6
1948,14,2,4,8
1999,20,1,4,3
2006,10,2,2,6
2003,18,1,1,3
1955,12,1,5,14
1946,5,1,1,3
1986,5,1,1,12
1978,13,1,5,11
1942,19,1,5,5
2000,12,2,2,8
1978,4,1,1,13
2003,20,2,1,10
1987,12,2,2,8
1938,7,2,4,9
1990,15,2,2,15
1966,5,1,1,3
2001,3,1,1,6
1989,2,2,3,6
1970,3,2,2,4
1982,14,1,1,10
1981,8,2,3,10
1937,15,2,3,7
1943,9,1,1,2
1924,3,2,6,11
1995,1,1,1,6
1971,8,1,2,14
1947,18,2,4,15
1936,7,2,4,9
1987,20,1,3,11
1982,6,1,1,5
2003,11,1,1,12
1979,13,1,5,11
1929,9,1,3,7
1949,2,2,4,11
1997,4,1,1,12
2004,6,2,2,15
1935,5,1,1,13
1982,3,1,3,7
1981,13,2,5,13
1992,13,1,5,14
1951,3,2,6,4
1947,10,2,3,7
1966,8,1,2,14
1941,16,2,4,7
1935,12,1,5,3
1998,3,1,6,10
1980,9,2,3,6
1950,3,1,6,9
1977,9,1,3,6
2000,1,2,2,8
1950,2,1,5,9
1932,18,2,4,15
1940,6,1,5,13
1953,14,1,5,11
2005,14,2,2,6
1935,14,2,4,8
1981,12,2,2,8
1930,9,1,3,7
1973,16,2,6,3
1942,4,2,4,7
1947,17,1,1,3
1970,2,1,5,15
1952,8,1,5,9
1985,15,1,1,8
2000,17,1,1,9
1967,19,2,5,6
1925,4,2,4,9
1945,1,2,2,7
2004,14,2,2,6
1995,7,1,1,6
1963,9,1,1,2
2000,7,2,2,12
1948,9,1,1,2
1988,3,2,6,5
1928,10,1,2,7
1947,14,2,4,8
1938,15,2,3,7
1975,1,1,1,10
1934,3,1,6,4
1943,4,2,4,7
1950,6,1,1,5
2005,15,1,1,12
2000,6,2,2,15
1963,7,1,1,10
1927,15,2,1,7
1988,20,2,5,8
1970,7,1,1,10
2006,18,2,2,6
1945,14,2,4,8
1925,3,1,1,9
1958,12,1,5,3
1994,20,1,5,3
1958,14,2,4,8
1982,20,2,4,4
1945,15,1,1,7
1984,11,1,1,13
1992,20,2,2,8
1965,2,2,4,12
1990,7,1,1,6
1993,16,2,6,3
1955,16,2,6,8
1962,15,1,2,8
1943,7,1,1,14
1945,17,2,4,13
1982,19,1,1,5
1928,19,2,4,2
1994,20,1,1,13
1985,20,2,3,7
1945,2,2,4,7
1958,9,2,2,6
1945,9,2,1,7
1991,8,2,1,12
1970,6,1,1,5
1928,15,2,2,7
1935,18,1,5,5
1962,10,1,4,8
1983,4,2,2,13
1999,12,2,2,8
1981,18,1,1,9
1936,17,1,5,3
2004,8,2,4,15
1945,19,1,5,5
2005,18,2,2,6
1978,14,2,6,8
1973,10,2,5,15
1997,17,1,1,9
1928,7,1,5,9
1998,12,2,2,8
1956,5,2,2,3
1962,5,2,2,3
1970,5,1,1,3
1977,8,2,6,3
2000,9,2,2,6
1996,20,1,5,13
2004,11,1,1,12
1955,17,2,6,13
1985,17,2,6,8
2003,14,1,1,12
1941,3,1,1,11
1978,3,1,1,4
1931,17,2,4,13
1990,19,2,6,6
1993,20,2,2,9
1942,5,2,2,13
1995,16,2,6,2
1935,7,1,5,9
1932,4,2,4,7
2002,17,2,2,8
1980,20,2,2,10
1975,11,1,1,13
2000,1,2,2,6
1937,18,2,4,15
1988,18,2,6,8
1938,9,2,1,7
1990,11,1,1,8
1975,13,1,2,11
1973,9,2,3,6
1943,19,1,5,5
1965,5,2,2,3
1977,17,1,1,9
1955,3,2,4,13
1958,15,2,3,7
1976,11,2,2,12
1970,1,1,1,3
1982,8,2,3,10
1980,12,2,2,8
2002,8,2,4,15
1962,19,1,1,5
1988,20,2,4,15
1948,17,1,1,3
1971,3,2,4,10
1995,4,2,2,12
1990,12,2,2,8
2003,5,1,1,12
1982,18,1,1,9
1987,2,2,3,6
1967,17,1,1,3
2005,19,1,1,7
1948,18,2,4,15
1943,10,2,3,7
1923,5,1,1,13
1980,3,2,6,8
1953,5,2,2,3
1972,5,1,1,3
1927,17,1,5,3
1967,7,1,1,10
1957,14,2,4,8
1991,3,2,6,12
1995,11,1,1,12
1940,3,1,6,14
1993,4,2,2,12
1987,9,2,1,12
1945,8,1,5,9
1935,3,2,6,7
1973,17,2,6,13
1968,17,1,1,3
1975,2,1,5,15
1965,6,2,1,5
1963,15,1,1,8
1968,15,2,2,15
1965,19,1,1,5
1986,16,1,1,8
1949,7,1,1,14
1967,10,2,4,15
1998,8,1,1,12
1970,9,1,1,2
1976,16,1,1,7
1980,1,2,1,10
1993,15,1,1,12
1990,1,2,1,6
1980,13,1,3,11
1990,8,2,1,12
1987,4,1,1,12
1955,8,1,5,9
1971,6,1,1,5
2003,9,1,1,12
1928,16,1,3,3
1948,5,1,1,3
1945,5,2,2,13
1965,13,1,1,14
1962,2,2,4,12
1968,6,2,1,5
2002,2,2,2,8
1997,11,2,2,8
1998,14,2,2,6
1925,9,1,3,7
1990,14,1,1,10
1991,13,1,2,14
1936,16,1,3,3
1960,14,1,1,10
1945,3,2,6,7
1992,13,1,5,14
2003,8,2,4,15
2001,8,2,4,15
2000,20,1,2,15
1999,6,1,3,15
1993,17,2,2,8
1933,10,2,2,7
1990,6,1,3,15
1953,6,1,1,5
1973,8,1,2,14
2000,13,2,4,12
1970,10,1,5,8
1957,18,2,6,8
1978,15,2,1,15
1995,1,1,1,6
1972,18,1,1,9
1998,11,2,2,8
1969,13,2,2,12
1995,13,2,2,13
1930,3,1,6,14
1935,15,1,1,7
1995,14,2,2,6
1978,18,2,6,8
1978,5,2,2,6
1958,17,1,1,3
1925,6,1,5,13
1945,1,2,2,7
1997,9,1,2,6
1997,14,2,2,6
1987,13,2,4,13
1978,6,2,1,5
1947,6,2,4,13
1933,16,2,4,7
2005,2,2,2,8
1980,15,2,3,15
1928,18,2,4,15
1977,18,2,6,8
1995,17,2,2,8
1974,11,2,2,12
2007,2,2,2,8
1940,4,1,1,9
1993,20,2,1,14
1953,17,2,6,13
1959,2,1,5,9
2005,3,1,3,12
1980,1,2,1,10
1983,8,2,3,10
1995,20,2,3,10
1961,6,1,1,5
1950,16,1,1,8
1951,16,2,6,8
1960,18,1,1,9
2003,10,2,2,6
1934,11,2,6,3
1982,10,1,2,10
1942,17,2,4,13
1979,2,1,5,15
1951,14,2,4,8
1938,4,1,3,9
1972,4,2,2,13
2000,16,1,1,8
1968,11,1,1,7
1953,19,1,1,5
1952,14,1,5,11
1998,9,2,2,6
1975,14,2,6,8
1930,11,2,6,3
1978,16,1,1,8
1990,13,1,2,14
1985,19,1,1,5
1977,13,1,2,11
1937,9,1,1,7
1992,19,1,1,7
1978,11,2,2,12
1989,7,1,1,6
1958,18,2,6,8
1961,16,2,6,8
1963,17,2,6,13
2002,4,2,2,12
1955,2,1,5,9
1968,13,2,2,12
1998,13,1,4,14
1961,13,2,4,12
2002,11,1,1,12
1944,11,1,1,7
1992,10,1,2,12
1990,10,1,2,12
1966,11,1,1,7
1980,1,2,1,10
1948,19,2,4,9
1958,4,1,1,13
1988,14,2,6,8
1948,15,2,1,7
1932,15,1,2,7
1967,6,2,1,5
1999,20,1,1,15
1972,17,2,6,13
2002,15,1,1,12
1935,19,1,5,5
1997,2,1,2,10
1972,10,1,5,8
1994,3,1,6,9
1990,2,1,2,10
1983,7,1,1,6
1928,17,1,5,3
1940,9,2,1,7
1930,10,2,2,7
1998,17,1,1,9
1931,16,2,4,7
1952,2,1,5,9
2000,13,2,5,12
1940,19,2,4,2
1997,20,1,5,10
1962,3,1,6,6
1988,13,2,1,13
1948,6,2,4,13
1946,12,1,5,3
1984,8,2,3,10
1930,18,1,5,5
1986,20,2,4,12
1923,10,1,2,7
1963,14,1,1,10
1948,12,1,5,3
1945,18,2,4,15
1955,1,1,1,10
1948,4,1,1,9
1993,13,1,3,14
1960,17,1,1,3
2002,5,2,2,12
1933,4,2,4,7
1970,18,1,1,9
1925,19,1,5,2
1949,16,1,1,13
1972,6,1,1,5
1990,1,2,1,6
1968,18,2,6,8
1990,5,1,1,12
1998,2,1,2,10
1955,18,1,1,9
1988,11,1,1,13
1950,4,1,1,9
1957,9,1,2,6
1985,14,2,6,8
1995,6,1,3,15
1976,20,2,2,7
1943,17,2,4,13
1968,5,1,1,3
1959,9,2,2,6
2003,19,1,1,7
1996,11,2,2,8
1960,3,2,3,3
1950,15,2,2,7
1990,20,2,5,4
1975,17,2,6,13
2004,3,2,4,7
1957,4,1,1,13
1925,16,1,3,3
1978,7,2,2,12
1943,12,1,5,3
1990,18,1,1,3
2005,11,1,1,12
1927,4,1,3,9
1978,19,2,5,6
1974,13,1,1,11
1957,15,2,1,7
1995,8,1,1,12
2006,16,1,1,8
2005,16,2,6,8
1980,18,1,1,9
2005,10,2,2,6
1950,1,1,4,9
1945,11,2,6,7
1967,15,2,3,15
1950,7,1,1,14
1928,9,1,3,7
1962,6,1,1,5
2000,3,2,1,12
2003,6,1,3,15
1987,7,1,1,6
1977,10,2,5,15
2003,17,2,2,8
1982,5,2,2,6
1998,19,2,6,6
1937,12,1,5,3
2000,14,1,1,12
2000,1,2,2,8
1964,13,2,3,12
1978,9,2,3,6
1950,5,1,1,3
1930,16,1,3,3
1930,19,2,4,2
1938,17,1,5,3
1975,5,1,1,3
1997,10,2,2,6
1957,2,1,5,9
1990,9,1,1,12
1998,4,1,1,12
1980,1,2,1,3
1973,5,2,2,6
1993,6,2,2,15
1999,9,2,2,6
1996,6,2,2,15
1971,16,2,6,8
1965,10,2,4,15
1973,15,1,3,8
1995,19,1,1,7
2000,11,2,2,12
1950,19,2,4,9
1930,6,1,5,13
1961,8,2,5,9
1935,2,1,5,13
2006,15,2,2,6
1990,1,2,1,8
1986,20,2,2,6
1933,7,2,4,9
1987,17,1,1,9
1952,19,1,1,5
1985,4,2,2,13
1967,8,1,2,14
1995,2,1,2,10
2001,6,2,2,15
1954,11,2,6,3
1965,16,2,6,7
1985,1,1,1,6
1933,17,2,4,13
1953,16,2,6,8
1978,17,1,1,9
1960,5,2,2,3
1940,11,1,1,7
2005,4,2,2,12
1958,19,2,5,9
1982,4,2,2,13
1977,11,2,2,12
1995,18,1,1,3
1995,13,2,2,13
1957,7,2,3,8
1940,16,1,3,3
1975,3,1,6,10
1962,8,2,5,9
1984,13,2,3,13
1955,1,1,1,10
1985,16,2,6,8
1995,20,2,1,6
1962,14,1,1,10
1985,13,2,3,13
1938,3,1,6,7
2003,4,2,2,12
1952,15,1,3,7
1981,20,1,4,13
1993,5,2,2,12
